"id","name","abbreviation","url","notes","parent_office_id","no_parent","reporting_authority_type","cfo_act_agency"
"49092","U.S. Arctic Research Commission",,"http://www.arctic.gov/",,,"true","independent","false"
"49093","Armed Forces Retirement Home",,"http://www.afrh.gov/",,,"true","independent","false"
"49095","Arms Control and International Security",,"http://www.state.gov/t/",,"49030","false","executive","false"
"49096","U.S. Army",,"http://www.army.mil/",,"49229","false","executive","false"
"49098","U.S. Army Corps of Engineers",,"http://www.usace.army.mil/",,"49096","false","executive","false"
"49100","Arthritis and Musculoskeletal Interagency Coordinating Committee",,"http://www.niams.nih.gov/",,"48089","false","executive","false"
"49101","U.S. Fleet Forces Command",,"http://www.cffc.navy.mil/",,"49229","false","executive","false"
"49102","Bankruptcy Courts",,"http://www.uscourts.gov/bankruptcycourts.html",,,"true","independent","false"
"49105","Barry M. Goldwater Scholarship and Excellence in Education Program",,"http://www.act.org/goldwater/",,,"true","independent","false"
"49106","Bonneville Power Administration",,"http://www.bpa.gov/corporate/",,"49624","false","executive","false"
"49108","U.S. Botanic Garden",,"http://www.usbg.gov/",,"49088","false","independent","false"
"49109","Broadcasting Board of Governors",,"http://www.bbg.gov/",,,"true","independent","false"
"49112","Bureau of Citizenship and Immigration Services","USCIS","http://www.uscis.gov/portal/site/uscis",,,"true","independent","false"
"49113","Consumer Financial Protection Bureau",,"http://www.consumerfinance.gov",,,"true","independent","false"
"49115","Bureau of Economic Analysis","BEA","http://www.bea.gov/",,"52668","false","executive","false"
"49117","Bureau of Indian Affairs","BIA","http://www.bia.gov/",,"49033","false","executive","false"
"49120","Bureau of Industry and Security",,"http://www.bis.doc.gov/",,"52668","false","executive","false"
"49121","Bureau of International Labor Affairs",,"http://www.dol.gov/ilab/",,"49028","false","executive","false"
"49124","Bureau of Labor Statistics",,"http://stats.bls.gov/",,"49028","false","executive","false"
"49125","Bureau of Land Management","BLM","http://www.blm.gov/wo/st/en.html",,"49033","false","executive","false"
"49126","Bureau of Prisons",,"http://www.bop.gov/",,"52686","false","executive","false"
"49128","Bureau of Reclamation",,"http://www.usbr.gov/",,"49033","false","executive","false"
"49129","Bureau of Transportation Statistics",,"http://www.bts.gov/",,"49035","false","executive","false"
"49134","Centers for Medicare and Medicaid Services","CMS","http://www.cms.gov",,"49021","false","executive","false"
"49135","U.S. Central Command","CENTCOM","http://www.centcom.mil/",,"49726","false","executive","false"
"49139","Chief Acquisition Officers Council",,"http://www.cao.gov",,,"true","independent","false"
"49141","Chief Financial Officers Council",,"http://www.cfo.gov",,,"true","independent","false"
"49143","Chief Human Capital Officers Council",,"http://www.chcoc.gov/",,,"true","independent","false"
"49145","Chief Information Officers Council",,"http://www.cio.gov/",,,"true","independent","false"
"49146","Citizens' Stamp Advisory Committee",,"http://about.usps.com/who-we-are/leadership/stamp-advisory-committee.htm",,,"true","independent","false"
"49149","U.S. Coast Guard",,"http://www.uscg.mil/",,"49022","false","executive","false"
"49153","U.S. Commission on International Religious Freedom",,"http://www.uscirf.gov/",,,"true","independent","false"
"49155","Commission on Security and Cooperation in Europe","Helsinki Commission","http://www.csce.gov",,,"true","independent","false"
"49157","U.S. AbilityOne Commission",,"http://www.abilityone.gov",,,"true","independent","false"
"49159","Committee for the Implementation of Textile Agreements",,"http://otexa.ita.doc.gov/cita.htm",,"52668","false","executive","false"
"49161","Committee on Foreign Investment in the United States",,"http://www.treasury.gov/about/organizational-structure/offices/International-Affairs/Pages/cfius-index.aspx",,,"true","independent","false"
"49162","Community Oriented Policing Services","COPS","http://www.cops.usdoj.gov/",,"52686","false","executive","false"
"49163","Office of Community Planning and Development",,"http://www.hud.gov/offices/cpd/index.cfm",,"49023","false","executive","false"
"49166","Computer Emergency Readiness Team","US CERT","http://www.us-cert.gov/",,"49022","false","executive","false"
"49167","Congressional Budget Office","CBO","http://www.cbo.gov/",,"49664","false","independent","false"
"49169","Congressional Research Service",,"http://www.loc.gov/crsinfo/about/",,"52628","false","independent","false"
"49174","Coordinating Council on Juvenile Justice and Delinquency Prevention",,"http://www.juvenilecouncil.gov/",,,"true","independent","false"
"49176","Copyright Office",,"http://www.copyright.gov/",,"52628","false","independent","false"
"49180","Council of Economic Advisers",,"http://www.whitehouse.gov/cea/index.html",,,"true","executive","false"
"49181","Council on Environmental Quality",,"http://www.whitehouse.gov/administration/eop/ceq/",,,"true","executive","false"
"49182","Court of Appeals for the Armed Forces",,"http://www.armfor.uscourts.gov/index.html",,,"true","independent","false"
"49184","Court of Appeals for the Federal Circuit",,"http://www.cafc.uscourts.gov/",,,"true","independent","false"
"49186","U.S. Court of Appeals for Veterans Claims",,"http://www.uscourts.cavc.gov",,,"true","independent","false"
"49188","Court of Federal Claims",,"http://www.uscfc.uscourts.gov/",,,"true","independent","false"
"49189","Court of International Trade",,"http://www.cit.uscourts.gov/",,,"true","independent","false"
"49191","Court Services and Offender Supervision Agency for the District of Columbia",,"http://www.csosa.gov",,,"true","independent","false"
"49194","Defense Acquisition University",,"http://www.dau.mil/",,"49229","false","executive","false"
"49195","Defense Advanced Research Projects Agency","DARPA","http://www.darpa.mil/",,"49229","false","executive","false"
"49197","Defense Commissary Agency",,"http://www.commissaries.com/",,"49229","false","executive","false"
"49200","Defense Contract Audit Agency","DCAA","http://www.dcaa.mil/",,"49229","false","executive","false"
"49202","Defense Contract Management Agency",,"http://www.dcma.mil/",,"49229","false","executive","false"
"49206","Defense Field Activities",,"http://www.defenselink.mil/pubs/almanac/",,,"true","independent","false"
"49209","Defense Information Systems Agency","DISA","http://www.disa.mil/",,"49229","false","executive","false"
"49211","Defense Intelligence Agency","DIA","http://www.dia.mil",,"49229","false","executive","false"
"49213","Defense Legal Services Agency",,"http://www.defenselink.mil/dodgc/",,"49229","false","executive","false"
"49217","Defense Security Cooperation Agency","DSCA","http://www.dsca.mil/",,"49229","false","executive","false"
"49219","Defense Security Service","DSS","http://www.dss.mil/",,"49229","false","executive","false"
"49221","Defense Technical Information Center",,"http://www.dtic.mil",,"49229","false","executive","false"
"49223","Defense Threat Reduction Agency","DTRA","http://www.dtra.mil/",,"49229","false","executive","false"
"49225","Delaware River Basin Commission",,"http://www.state.nj.us/drbc/drbc.htm",,,"true","independent","false"
"49227","Denali Commission",,"http://www.denali.gov/",,,"true","independent","false"
"49229","Department of Defense",,"http://www.defense.gov/",,,"true","executive","true"
"49235","Domestic Policy Council",,"http://www.whitehouse.gov/dpc/index.html",,,"true","executive","false"
"49237","Economic, Business and Agricultural Affairs",,"http://www.state.gov/e/",,,"true","independent","false"
"49238","Economic Adjustment Office",,"http://www.oea.gov",,"49229","false","executive","false"
"49240","Economic Development Administration","EDA","http://www.eda.gov/",,"52668","false","executive","false"
"49242","Economic Research Service",,"http://www.ers.usda.gov/",,"49015","false","executive","false"
"49243","Economics and Statistics Administration",,"http://www.esa.doc.gov/",,"52668","false","executive","false"
"49250","Endangered Species Program",,"http://endangered.fws.gov/",,"48057","false","executive","false"
"49255","Energy Information Administration",,"http://www.eia.doe.gov/",,"49019","false","executive","false"
"49256","English Language Acquisition Office",,"http://www.ed.gov/oela",,"49018","false","executive","false"
"49259","Environmental Management","Energy Department","http://www.em.doe.gov/",,"49019","false","executive","false"
"49261","European Command",,"http://www.eucom.mil",,"49726","false","executive","false"
"49263","Executive Office for Immigration Review",,"http://www.usdoj.gov/eoir/",,"52686","false","executive","false"
"49266","Office of Elementary and Secondary Education","OESE","http://www.ed.gov/oese",,"49018","false","executive","false"
"49267","Fair Housing and Equal Opportunity","FHEO","http://www.hud.gov/offices/fheo/index.cfm",,"49023","false","executive","false"
"49272","Farm Service Agency",,"http://www.fsa.usda.gov",,"49015","false","executive","false"
"49275","Federal Accounting Standards Advisory Board",,"http://www.fasab.gov/",,,"true","independent","false"
"49278","Federal Bureau of Investigation","FBI","http://www.fbi.gov/",,"52686","false","executive","false"
"49281","Federal Consulting Group",,"http://www.fcg.gov",,"49033","false","executive","false"
"49288","Federal Executive Boards",,"http://www.feb.gov/",,"48112","false","independent","false"
"49290","Federal Financial Institutions Examination Council",,"http://www.ffiec.gov/",,,"true","independent","false"
"49292","Federal Financing Bank",,"http://www.treas.gov/ffb/",,"49034","false","executive","false"
"49294","Federal Geographic Data Committee",,"http://www.fgdc.gov/",,,"true","independent","false"
"49296","Federal Highway Administration",,"http://www.fhwa.dot.gov/",,"49035","false","executive","false"
"49299","Federal Interagency Committee for the Management of Noxious and Exotic Weeds",,"http://www.fs.fed.us/ficmnew/index.shtml",,,"true","independent","false"
"49300","Federal Interagency Committee on Education",,"http://www.ed.gov/about/bdscomm/list/com.html#fice",,,"true","independent","false"
"49301","Federal Interagency Council on Statistical Policy",,"http://www.fedstats.gov/",,,"true","independent","false"
"49303","Federal Judicial Center",,"http://www.fjc.gov/",,,"true","independent","false"
"49304","Federal Laboratory Consortium for Technology Transfer",,"http://www.federallabs.org/",,,"true","independent","false"
"49308","Federal Law Enforcement Training Center",,"http://www.fletc.gov/",,"49022","false","executive","false"
"49310","Federal Library and Information Center Committee",,"http://lcweb.loc.gov/flicc/",,,"true","independent","false"
"49312","Federal Mediation and Conciliation Service",,"http://www.fmcs.gov/",,,"true","independent","false"
"49315","Federal Motor Carrier Safety Administration","FMCSA","http://www.fmcsa.dot.gov/",,"49035","false","executive","false"
"49318","Federal Railroad Administration","FRA","http://www.fra.dot.gov/",,"49035","false","executive","false"
"49320","Federal Retirement Thrift Investment Board",,"http://www.frtib.gov/",,,"true","independent","false"
"49322","Federal Student Aid Information Center",,"http://www2.ed.gov/about/offices/list/fsa/index.html",,,"true","independent","false"
"49323","Federal Transit Administration","FTA","http://www.fta.dot.gov/",,"49035","false","executive","false"
"49325","Financial Management Service",,"http://www.fms.treas.gov/",,"49034","false","executive","false"
"49331","Food Safety and Inspection Service",,"http://www.fsis.usda.gov/",,"49015","false","executive","false"
"49334","Foreign Agricultural Service",,"http://www.fas.usda.gov/",,"49015","false","executive","false"
"49336","Foreign Claims Settlement Commission",,"http://www.usdoj.gov/fcsc/",,,"true","independent","false"
"49339","Forest Service",,"http://www.fs.fed.us/",,"49015","false","executive","false"
"49340","Fossil Energy",,"http://www.fe.doe.gov/",,"49019","false","executive","false"
"49341","Fulbright Foreign Scholarship Board",,"http://exchanges.state.gov/academicexchanges/fulbright/ffsb.html",,,"true","independent","false"
"49343","U.S. Geological Survey","USGS","http://www.usgs.gov/",,"49033","false","executive","false"
"49348","Global Affairs","State Department","http://www.state.gov/g/",,,"true","independent","false"
"49349","Government Accountability Office","GAO","http://www.gao.gov/",,"49664","false","independent","false"
"49351","Government National Mortgage Association","Ginnie Mae","http://www.ginniemae.gov",,"49023","false","executive","false"
"49353","Government Printing Office","GPO","http://www.gpo.gov/",,"49664","false","independent","false"
"49354","Grain Inspection, Packers and Stockyards Administration",,"http://www.gipsa.usda.gov/",,"49450","false","executive","false"
"49356","Harry S. Truman Scholarship Foundation",,"http://www.truman.gov/",,,"true","independent","false"
"49359","Health Resources and Services Administration",,"http://www.hrsa.gov/",,"49021","false","executive","false"
"49363","Holocaust Memorial Museum",,"http://www.ushmm.org/",,,"true","independent","false"
"49367","House Office of Inspector General",,"http://www.house.gov/IG/",,"49371","false","independent","false"
"49369","House Office of the Clerk",,"http://clerk.house.gov/",,"49371","false","independent","false"
"49371","U.S. House of Representatives",,"http://www.house.gov/",,,"true","independent","false"
"49376","Housing Office","HUD","http://www.hud.gov/offices/hsg/index.cfm",,"49023","false","executive","false"
"49383","Indian Affairs",,"http://www.bia.gov/",,"49033","false","executive","false"
"49384","Indian Arts and Crafts Board",,"http://www.doi.gov/iacb/index.html",,"49033","false","executive","false"
"49386","Indian Health Service",,"http://www.ihs.gov/",,"49021","false","executive","false"
"49389","Dwight D. Eisenhower School for National Security and Resource Strategy",,"http://www.ndu.edu/Academics/CollegesCenters/TheEisenhowerSchool.aspx",,"49492","false","executive","false"
"49392","Information Resource Management College",,"https://sites.google.com/a/irmcollege.net/icollege/",,"49492","false","executive","false"
"49394","Innovation and Improvement Office",,"http://www.ed.gov/oii",,"49018","false","executive","false"
"49395","Institute of Education Sciences",,"http://www.ed.gov/about/offices/list/ies/index.html",,"49018","false","executive","false"
"49398","Institute of Peace",,"http://www.usip.org/",,,"true","independent","false"
"49400","Interagency Alternative Dispute Resolution Working Group",,"http://www.adr.gov/index.html",,,"true","independent","false"
"49402","Interagency Council on Homelessness",,"http://www.ich.gov",,,"true","independent","false"
"49404","Inter-American Foundation",,"http://www.iaf.gov",,,"true","independent","false"
"49409","International Trade Administration","ITA","http://trade.gov/index.asp",,"52668","false","executive","false"
"49412","James Madison Memorial Fellowship Foundation",,"http://www.jamesmadison.com/",,,"true","independent","false"
"49414","Japan-United States Friendship Commission",,"http://www.jusfc.gov",,,"true","independent","false"
"49416","John F. Kennedy Center for the Performing Arts",,"http://www.kennedy-center.org/",,,"true","independent","false"
"49418","Joint Board for the Enrollment of Actuaries",,"http://www.irs.gov/taxpros/actuaries/index.html",,,"true","independent","false"
"49420","Joint Chiefs of Staff",,"http://www.jcs.mil/",,"49229","false","executive","false"
"49422","Joint Congressional Committee on Inaugural Ceremonies",,"http://inaugural.senate.gov/index.cfm",,,"true","independent","false"
"49423","Joint Fire Science Program",,"http://www.firescience.gov",,,"true","independent","false"
"49427","Joint Forces Staff College",,"http://www.jfsc.ndu.edu/",,"49492","false","executive","false"
"49429","National Intelligence University",,"http://www.ni-u.edu/",,"49211","false","executive","false"
"49430","U.S. Circuit Courts of Appeal",,"http://www.uscourts.gov/FederalCourts.aspx",,,"true","independent","false"
"49431","Judicial Panel on Multidistrict Litigation",,"http://www.jpml.uscourts.gov",,,"true","independent","false"
"49434","Office of Justice Programs",,"http://www.ojp.usdoj.gov/",,"52686","false","executive","false"
"49441","Healthy Homes and Lead Hazard Control Office",,"http://www.hud.gov/offices/lead/",,"49023","false","executive","false"
"49442","Legal Services Corporation",,"http://lsc.gov/",,,"true","independent","false"
"49444","U.S. Marine Corps",,"http://www.usmc.mil/",,"49561","false","executive","false"
"49446","Marine Mammal Commission",,"http://www.mmc.gov/",,,"true","independent","false"
"49448","Maritime Administration","MARAD","http://www.marad.dot.gov/",,"49035","false","executive","false"
"49450","Marketing and Regulatory Programs","Agriculture Department","http://www.usda.gov/wps/portal/usda/usdahome?contentid=missionarea_MRP.xml",,"49015","false","executive","false"
"49451","Marshals Service",,"http://www.usdoj.gov/marshals/",,"52686","false","executive","false"
"49457","Migratory Bird Conservation Commission",,"http://www.fws.gov/refuges/realty/mbcc.html",,,"true","independent","false"
"49459","Military Postal Service Agency",,"http://hqdainet.army.mil/mpsa/main.htm",,"49229","false","executive","false"
"49460","Millennium Challenge Corporation",,"http://www.mcc.gov",,,"true","independent","false"
"49462","Mine Safety and Health Administration",,"http://www.msha.gov/",,"49028","false","executive","false"
"49464","Minority Business Development Agency",,"http://www.mbda.gov/",,"52668","false","executive","false"
"49468","Missile Defense Agency","MDA","http://www.mda.mil",,"49229","false","executive","false"
"49470","Mississippi River Commission",,"http://www.mvd.usace.army.mil/About/MississippiRiverCommission%28MRC%29.aspx",,,"true","independent","false"
"49473","Morris K. Udall and Stewart L. Udall Foundation",,"http://www.udall.gov/",,,"true","independent","false"
"49475","Multifamily Housing Office",,"http://portal.hud.gov/hudportal/HUD?src=/program_offices/housing/mfh",,"49023","false","executive","false"
"49476","National Aeronautics and Space Administration","NASA","http://www.nasa.gov",,,"true","independent","true"
"49479","National Agricultural Statistics Service",,"http://www.nass.usda.gov",,"49015","false","executive","false"
"49481","National AIDS Policy Office",,"http://www.whitehouse.gov/onap/aids.html",,"49235","false","executive","false"
"49483","National Archives and Records Administration","NARA","http://www.archives.gov/index.html",,,"true","independent","false"
"49484","National Bipartisan Commission on the Future of Medicare",,"http://rs9.loc.gov/medicare/index.html",,,"true","independent","false"
"49488","National Commission on Fiscal Responsibility and Reform",,"http://www.fiscalcommission.gov",,,"true","independent","false"
"49489","National Constitution Center",,"http://www.constitutioncenter.org/",,,"true","independent","false"
"49490","National Counterintelligence Executive, Office of",,"http://www.ncix.gov/",,"49595","false","independent","false"
"49492","National Defense University",,"http://www.ndu.edu/",,"49229","false","executive","false"
"49494","National Drug Intelligence Center",,"http://www.usdoj.gov/ndic/index.htm",,"52686","false","executive","false"
"49496","National Economic Council",,"http://www.whitehouse.gov/nec/index.html",,,"true","executive","false"
"49502","National Gallery of Art",,"http://www.nga.gov/",,,"true","independent","false"
"49504","National Geospatial-Intelligence Agency",,"http://www.nga.mil/",,"49229","false","executive","false"
"49506","National Guard",,"http://www.nationalguard.mil/",,,"true","independent","false"
"49512","National Indian Gaming Commission",,"http://www.nigc.gov/",,,"true","independent","false"
"49515","National Institute of Justice",,"http://www.ojp.usdoj.gov/nij/welcome.html",,"49434","false","executive","false"
"49517","National Institute of Standards and Technology","NIST","http://www.nist.gov/",,"52668","false","executive","false"
"49520","National Interagency Fire Center",,"http://www.nifc.gov/",,,"true","independent","false"
"49522","National Laboratories","Energy Department","http://www.energy.gov/organization/labs-techcenters.htm",,"49019","false","executive","false"
"49523","National Labor Relations Board","NLRB","http://www.nlrb.gov/",,,"true","independent","false"
"49524","National Marine Fisheries Service",,"http://www.nmfs.noaa.gov/",,"49530","false","executive","false"
"49526","National Mediation Board",,"http://www.nmb.gov/",,,"true","independent","false"
"49528","National Nuclear Security Administration",,"http://www.nnsa.doe.gov/",,"49019","false","executive","false"
"49530","National Oceanic and Atmospheric Administration","NOAA","http://www.noaa.gov/",,"52668","false","executive","false"
"49533","National Ocean Service",,"http://oceanservice.noaa.gov",,"49530","false","executive","false"
"49536","National Park Foundation",,"http://www.nationalparks.org/",,,"true","independent","false"
"49539","National Park Service",,"http://www.nps.gov/",,"49033","false","executive","false"
