"id","name","abbreviation","url","notes","parent_office_id","no_parent","reporting_authority_type","cfo_act_agency"
"47994","Administration for Children and Families","ACF","http://www.acf.hhs.gov/",,"49021","false","executive","false"
"47995","Administration on Aging","AoA","http://www.aoa.gov/",,"49021","false","executive","false"
"47996","AIDS.gov",,"http://www.aids.gov/",,"49021","false","executive","false"
"48005","Bureau of the Census",,"http://www.census.gov",,"52668","false","executive","false"
"48006","Bureau of the Public Debt",,"http://www.publicdebt.treas.gov/",,"49034","false","executive","false"
"48007","CDC National STD Hotline",,"http://www.cdc.gov/std",,"49021","false","executive","false"
"48012","Center for Nutrition Policy and Promotion","CNPP","http://www.cnpp.usda.gov/",,"49015","false","executive","false"
"48013","Centers for Disease Control and Prevention","CDC","http://www.cdc.gov/",,"49021","false","executive","false"
"48016","Child Welfare Information Gateway",,"http://www.childwelfare.gov",,"49021","false","executive","false"
"48018","Commission on Civil Rights",,"http://www.usccr.gov",,,"true","independent","false"
"48020","Consumer Center",,"http://www.fcc.gov/cgb/",,"49041","false","independent","false"
"48023","Customer Contact Center",,"http://www.pbgc.gov/",,"49052","false","independent","false"
"48027","Department of Veterans Affairs","VA","http://www.va.gov/",,,"true","executive","true"
"48028","Eldercare Locator",,"http://www.eldercare.gov/",,"49021","false","executive","false"
"48029","Employee Benefits Security Administration","EBSA","http://www.dol.gov/ebsa/",,"49028","false","executive","false"
"48030","Energy Efficiency and Renewable Energy","EERE","http://www.energysavers.gov/",,"49019","false","executive","false"
"48031","Energy Star Program",,"http://www.energystar.gov",,"49039","false","independent","false"
"48032","Equal Employment Opportunity Commission","EEOC","http://www.eeoc.gov/",,,"true","independent","false"
"48033","Federal Aviation Administration","FAA","http://www.faa.gov/",,"49035","false","executive","false"
"48042","Federal Emergency Management Agency","FEMA","http://www.fema.gov/",,"49022","false","executive","false"
"48044","Federal Housing Administration","FHA","http://portal.hud.gov/hudportal/HUD?src=/federal_housing_administration",,"49023","false","executive","false"
"48048","Federal Reserve Consumer Help",,"http://www.federalreserveconsumerhelp.gov/",,"49046","false","independent","false"
"48055","FEMA Disaster Assistance",,"http://www.fema.gov/assistance",,"49022","false","executive","false"
"48057","Fish and Wildlife Service","FWS","http://www.fws.gov/",,"49033","false","executive","false"
"48058","Food and Drug Administration","FDA","http://www.fda.gov/",,"49021","false","executive","false"
"48059","Food and Nutrition Service",,"http://www.fns.usda.gov",,"49015","false","executive","false"
"48061","General Information Line",,"http://www.usda.gov/wps/portal/usda/usdahome",,"49015","false","executive","false"
"48062","HHS-TIPS Fraud Hotline",,"http://www.oig.hhs.gov",,"49021","false","executive","false"
"48068","Internal Revenue Service","IRS","http://www.irs.gov",,"49034","false","executive","false"
"48069","Job Corps",,"http://www.jobcorps.gov",,"49028","false","executive","false"
"48074","National Cemetery Administration",,"http://www.cem.va.gov/",,"48027","false","executive","false"
"48075","National Contact Center",,"http://www.dol.gov/",,"49028","false","executive","false"
"48076","National Council on Disability","NCD","http://www.ncd.gov/",,,"true","independent","false"
"48078","National Flood Insurance Program","NFIP","http://www.floodsmart.gov/",,"48042","false","executive","false"
"48079","National Health Information Center","NHIC","http://www.health.gov/nhic",,"49021","false","executive","false"
"48081","National Highway Traffic Safety Administration",,"http://www.nhtsa.dot.gov/",,"49035","false","executive","false"
"48082","National Institute of Allergy and Infectious Diseases","NIAID","http://www.niaid.nih.gov",,"49021","false","executive","false"
"48084","National Institute of Food and Agriculture",,"http://www.nifa.usda.gov",,"49015","false","executive","false"
"48087","National Institute of Mental Health","NIMH","http://www.nimh.nih.gov",,"48089","false","executive","false"
"48089","National Institutes of Health","NIH","http://www.nih.gov/",,"49021","false","executive","false"
"48091","National Park Service","NPS","http://www.nps.gov/",,"49033","false","executive","false"
"48092","National Passport Information Center","NPIC","http://travel.state.gov/content/passports/english/contact-us.html",,"49030","false","executive","false"
"48094","National Pesticide Information Center",,"http://npic.orst.edu",,"49039","false","independent","false"
"48096","National Runaway Safeline","NRS","http://www.1800runaway.org",,"49021","false","executive","false"
"48099","National Service Center for Environmental Publications","NSCEP","http://www.epa.gov/nscep",,"49039","false","independent","false"
"48101","Occupational Safety and Health Administration","OSHA","http://www.osha.gov/",,"49028","false","executive","false"
"48102","Office for Civil Rights, Department of Education",,"http://www.ed.gov/ocr",,"49018","false","executive","false"
"48104","Office of Child Support Enforcement","OCSE","http://www.acf.hhs.gov/programs/cse/",,"49021","false","executive","false"
"48105","Office of Disability Employment Policy",,"http://www.dol.gov/odep",,"49028","false","executive","false"
"48107","Office of Fair Housing and Equal Opportunity",,"http://www.hud.gov/offices/fheo/",,"49023","false","executive","false"
"48109","Office of Investor Education and Advocacy","OIEA","http://www.investor.gov/",,"49054","false","independent","false"
"48112","Office of Personnel Management","OPM","http://www.opm.gov/",,,"true","independent","true"
"48113","Office of Postsecondary Education","OPE","http://www2.ed.gov/about/offices/list/ope/index.html",,"49018","false","executive","false"
"48115","Office of Public Inquiries",,"http://www.socialsecurity.gov",,"49057","false","independent","false"
"48121","Office of Special Education and Rehabilitative Services","OSERS","http://www.ed.gov/about/offices/list/osers/index.html",,"49018","false","executive","false"
"48126","Office of the Comptroller of the Currency","OCC","http://www.occ.gov/",,"49034","false","executive","false"
"48129","Office of Vocational and Adult Education","OVAE","http://www2.ed.gov/about/offices/list/ovae/index.html",,"49018","false","executive","false"
"48131","American Citizens Services and Crisis Management",,"http://travel.state.gov/content/passports/english/go.html",,"49030","false","executive","false"
"48133","Public Affairs",,"http://energy.gov/public-services",,"49019","false","executive","false"
"48139","Small Business Administration","SBA","http://www.sba.gov/",,,"true","independent","true"
"48140","Surplus Federal Property Sales",,"http://www.gsaauctions.gov/",,"49048","false","independent","false"
"48141","The Education Publications Center","EDPUBS","http://www.edpubs.gov",,"49018","false","executive","false"
"48143","Transportation Security Administration","TSA","http://www.tsa.gov",,"49022","false","executive","false"
"48146","U.S. Commodity Futures Trading Commission","CFTC","http://www.cftc.gov",,,"true","independent","false"
"48148","U.S. Trustee Program",,"http://www.justice.gov/ust",,"52686","false","executive","false"
"48150","United States Mint",,"http://www.usmint.gov",,"49034","false","executive","false"
"48151","U.S. Patent and Trademark Office",,"http://www.uspto.gov/",,"52668","false","executive","false"
"48154","United States Postal Inspection Service",,"http://postalinspectors.uspis.gov/",,"49061","false","independent","false"
"48156","Veterans Benefits Administration",,"http://www.vba.va.gov/",,"48027","false","executive","false"
"48158","Veterans Employment and Training Service","VETS","http://www.dol.gov/vets/",,"49028","false","executive","false"
"48159","Veterans Health Administration","VHA","http://www.va.gov/health",,,"true","independent","false"
"48161","Visa Services",,"http://travel.state.gov/content/visas/english.html",,"49030","false","executive","false"
"48165","Wireless Telecommunications Bureau","WTB","http://wireless.fcc.gov/",,"49041","false","independent","false"
"49013","Consumer Product Safety Commission","CPSC","http://www.cpsc.gov/",,,"true","independent","false"
"49015","Department of Agriculture","USDA","http://www.usda.gov/wps/portal/usda/usdahome",,,"true","executive","true"
"49018","Department of Education","ED","http://www.ed.gov",,,"true","executive","true"
"49019","Department of Energy","DOE","http://www.energy.gov/",,,"true","executive","true"
"49021","Department of Health and Human Services","HHS","http://www.hhs.gov/",,,"true","executive","true"
"49022","Department of Homeland Security","DHS","http://www.dhs.gov",,,"true","executive","true"
"49023","Department of Housing and Urban Development","HUD","http://www.hud.gov",,,"true","executive","true"
"49028","Department of Labor","DOL","http://www.dol.gov/",,,"true","executive","true"
"49030","Department of State","DOS","http://www.state.gov",,,"true","executive","true"
"49033","Department of the Interior","DOI","http://www.doi.gov/",,,"true","executive","true"
"49034","Department of the Treasury",,"http://www.treasury.gov/Pages/default.aspx",,,"true","executive","true"
"49035","Department of Transportation","DOT","http://www.dot.gov/",,,"true","executive","true"
"49039","Environmental Protection Agency","EPA","http://www.epa.gov/",,,"true","independent","true"
"49041","Federal Communications Commission","FCC","http://www.fcc.gov/",,,"true","independent","false"
"49043","Federal Deposit Insurance Corporation","FDIC","http://www.fdic.gov/",,,"true","independent","false"
"49046","Federal Reserve System",,"http://www.federalreserve.gov/",,,"true","independent","false"
"49047","Federal Trade Commission","FTC","http://www.ftc.gov/",,,"true","independent","false"
"49048","General Services Administration","GSA","http://www.gsa.gov/",,,"true","independent","true"
"49050","National Credit Union Administration",,"http://www.ncua.gov/",,,"true","independent","false"
"49052","Pension Benefit Guaranty Corporation","PBGC","http://www.pbgc.gov/",,,"true","independent","false"
"49054","Securities and Exchange Commission","SEC","http://www.sec.gov/",,,"true","independent","false"
"49057","Social Security Administration","SSA","http://www.ssa.gov/",,,"true","independent","true"
"49061","U.S. Postal Service","USPS","https://www.usps.com/",,,"true","independent","false"
"49064","Administration for Native Americans",,"http://www.acf.hhs.gov/programs/ana/",,"47994","false","executive","false"
"49066","Administration on Developmental Disabilities",,"http://www.acf.hhs.gov/programs/add/",,"47994","false","executive","false"
"49067","Office of the Federal Register",,"http://ofr.gov/",,"49483","false","independent","false"
"49068","Administrative Conference of the United States",,"http://acus.gov/",,,"true","independent","false"
"49070","Administrative Office of the U.S. Courts",,"http://www.uscourts.gov/",,,"true","independent","false"
"49074","Agency for Healthcare Research and Quality","AHRQ","http://www.ahrq.gov/",,"49021","false","executive","false"
"49076","Agency for Toxic Substances and Disease Registry",,"http://www.atsdr.cdc.gov/",,"48013","false","executive","false"
"49077","Agricultural Marketing Service",,"http://www.ams.usda.gov/",,"49450","false","executive","false"
"49078","Agricultural Research Service",,"http://www.ars.usda.gov/",,"49015","false","executive","false"
"49080","U.S. Air Force",,"http://www.af.mil/",,"49229","false","executive","false"
"49081","Bureau of Alcohol, Tobacco, Firearms, and Explosives",,"http://www.atf.gov",,"52686","false","executive","false"
"49082","Alcohol and Tobacco Tax and Trade Bureau",,"http://www.ttb.gov/",,"49034","false","executive","false"
"49084","National Railroad Passenger Corporation","AMTRAK","http://www.amtrak.com/",,,"true","independent","false"
"49085","Animal and Plant Health Inspection Service",,"http://www.aphis.usda.gov/",,"49450","false","executive","false"
"49088","Architect of the Capitol",,"http://www.aoc.gov/",,"49664","false","independent","false"
